"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADO_SUB_JUDICE";"QT_VOTOS_SEM_CAND_P_VOTAR";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"70831";"SÃO JOÃO DA BOA VISTA";"70831";"SÃO JOÃO DA BOA VISTA";"122";"11";"Prefeito";"70161";"185";"4";"70161";"185";"49669";"20492";"N";"43345";"2563";"3761";"0";"0";"0";"0";"0";"0";"23:30:06";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71072";"SÃO PAULO";"71072";"SÃO PAULO";"255";"11";"Prefeito";"185921";"453";"9";"185921";"453";"129380";"56541";"N";"109252";"7173";"12940";"0";"0";"15";"0";"0";"0";"14:35:02";"29/12/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71072";"SÃO PAULO";"71072";"SÃO PAULO";"352";"13";"Vereador";"203182";"503";"2";"203182";"503";"148972";"54210";"N";"98664";"16918";"18452";"14242";"0";"468";"20";"208";"0";"14:35:02";"29/12/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71790";"TARABAI";"71790";"TARABAI";"261";"11";"Prefeito";"5584";"14";"0";"5584";"14";"4374";"1210";"N";"4093";"78";"203";"0";"0";"0";"0";"0";"0";"22:41:54";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"62391";"BOITUVA";"62391";"BOITUVA";"369";"11";"Prefeito";"44152";"108";"2";"44152";"108";"31786";"12366";"N";"27983";"1389";"2414";"0";"0";"0";"0";"0";"0";"23:31:50";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"63053";"CAPÃO BONITO";"63053";"CAPÃO BONITO";"37";"13";"Vereador";"36212";"102";"4";"36212";"102";"25684";"10528";"N";"22338";"1144";"703";"1439";"0";"0";"0";"60";"0";"23:31:37";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64017";"EMBU DAS ARTES";"64017";"EMBU DAS ARTES";"391";"13";"Vereador";"95595";"249";"5";"95595";"249";"76108";"19487";"N";"61334";"4185";"5186";"4498";"0";"495";"0";"410";"0";"14:10:00";"29/01/2021"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64254";"FRANCA";"64254";"FRANCA";"46";"11";"Prefeito";"117731";"299";"0";"117731";"299";"83790";"33941";"N";"71639";"6067";"6084";"0";"0";"0";"0";"0";"0";"23:31:39";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64513";"GUAPIAÇU";"64513";"GUAPIAÇU";"312";"11";"Prefeito";"14890";"37";"1";"14890";"37";"11738";"3152";"N";"10911";"294";"533";"0";"0";"0";"0";"0";"0";"22:42:02";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64556";"GUARÁ";"64556";"GUARÁ";"60";"11";"Prefeito";"13777";"34";"0";"13777";"34";"11227";"2550";"N";"10524";"266";"437";"0";"0";"0";"0";"0";"0";"22:40:05";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64637";"GUARANTÃ";"64637";"GUARANTÃ";"31";"11";"Prefeito";"5195";"13";"0";"5195";"13";"4155";"1040";"N";"2761";"78";"129";"0";"0";"0";"0";"1187";"0";"23:20:18";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"68578";"PIEDADE";"68578";"PIEDADE";"89";"13";"Vereador";"42730";"108";"0";"42730";"108";"29030";"13700";"N";"24006";"1953";"1176";"1845";"0";"0";"0";"50";"0";"23:31:50";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"67717";"NOVO HORIZONTE";"67717";"NOVO HORIZONTE";"79";"11";"Prefeito";"30038";"75";"3";"30038";"75";"21247";"8791";"N";"19715";"691";"841";"0";"0";"0";"0";"0";"0";"22:40:21";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"67318";"MONTE AZUL PAULISTA";"67318";"MONTE AZUL PAULISTA";"171";"13";"Vereador";"13785";"36";"0";"13785";"36";"11182";"2603";"N";"9716";"417";"460";"589";"0";"0";"0";"0";"0";"14:30:00";"18/01/2021"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"70033";"SALMOURÃO";"70033";"SALMOURÃO";"69";"13";"Vereador";"4032";"11";"0";"4032";"11";"3352";"680";"N";"3058";"48";"67";"163";"0";"16";"0";"0";"0";"12:15:00";"18/12/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71072";"SÃO PAULO";"71072";"SÃO PAULO";"418";"13";"Vereador";"188570";"464";"5";"188570";"464";"135196";"53374";"N";"92005";"13885";"14677";"13347";"0";"268";"28";"986";"0";"14:35:02";"29/12/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"61166";"ROSANA";"61166";"ROSANA";"330";"11";"Prefeito";"15476";"38";"0";"15476";"38";"10732";"4744";"N";"10082";"227";"423";"0";"0";"0";"0";"0";"0";"23:20:25";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"61166";"ROSANA";"61166";"ROSANA";"330";"13";"Vereador";"15476";"38";"0";"15476";"38";"10732";"4744";"N";"9604";"229";"299";"600";"0";"0";"0";"0";"0";"23:20:25";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"69272";"PRESIDENTE EPITÁCIO";"69272";"PRESIDENTE EPITÁCIO";"195";"13";"Vereador";"31844";"78";"0";"31844";"78";"22214";"9630";"N";"18892";"836";"860";"1244";"0";"0";"0";"382";"0";"23:10:31";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71714";"TAPIRAÍ";"71714";"TAPIRAÍ";"89";"11";"Prefeito";"6478";"15";"0";"6478";"15";"4718";"1760";"N";"4485";"90";"143";"0";"0";"0";"0";"0";"0";"23:10:19";"15/11/2020"
